,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,intent
0,Tee_Keay,"Doveryai, no proveryai.",254,2236,1370,29984,24/03/2011 10:09,18/11/2020 04:34,0,"@KCBCare  the usual, kindly deal � https://t.co/1DTDVVSALG",[],N/A
1,Skirm_TheDon,I speak what my mind tells me to.  #BigBroAfrica fan.,,23,194,2148,30/04/2010 12:11,17/11/2020 16:25,0,"@KCBGroup @KCBCare I need my money 
Transaction ref. no. 203223037394. @Safaricom_Care",[],N/A
2,Gitari56557590,Ambitions,,16,9,5,17/11/2020 06:33,17/11/2020 15:54,0,@KCBCare Thanks for ur help,[],N/A
3,Danokware,"IT is my Profession.
Catholic is my Religion.
Manchester United is my second Religion.
Simplicity is my other name.
What you are thinking is only your opinion.","Nairobi, Kenya",505,425,1373,24/08/2011 12:11,17/11/2020 14:02,0,"@KCBCare I contacted you about this transaction. It was followed by a failed Airtime purchase but the money was not reversed back to my account. I was informed this will be automatic after 24 hrs. It is past that no funds in account, no airtime!Whats up??",[],N/A
4,Gitari56557590,Ambitions,,16,9,5,17/11/2020 06:33,17/11/2020 13:54,0,"@KCBCare Would you kindly follow me back,,,so that I can be able to dm you",[],N/A
5,Gitari56557590,Ambitions,,16,9,5,17/11/2020 06:33,17/11/2020 13:44,0,@KCBCare hello can you assist me to know the status of my account,[],kcb_account
6,Gitari56557590,Ambitions,,16,9,5,17/11/2020 06:33,17/11/2020 13:38,0,@KCBCare hellow,[],N/A
7,DavIndac,,,352,202,11016,04/08/2011 07:54,17/11/2020 09:53,0,@KCBCare For how long?,[],N/A
8,DavIndac,,,352,202,11016,04/08/2011 07:54,17/11/2020 09:36,0,"@KCBCare how come you don't trust me with your 30k, yet am paying your 3m for the next 7yrs?",[],N/A
9,DavIndac,,,352,202,11016,04/08/2011 07:54,17/11/2020 09:35,0,@KCBCare u have blacklisted me on mobiloan &amp; KCB Mpesa yet av been a loyal customer. I also earn through KCB. Now I wanted to take one &amp; pay salary advance still from KCB.,[],N/A
10,Gitari56557590,Ambitions,,16,9,5,17/11/2020 06:33,17/11/2020 06:38,0,@KCBCare hello,[],N/A
11,Dennis37397083,,,31,0,8,24/10/2020 17:22,17/11/2020 01:36,0,@KCBCare iam grateful I received my money.. Thank you so much....,[],N/A
12,Bhaktishah1277,,,83,96,3021,10/02/2016 05:01,16/11/2020 20:52,4,"@KCBGroup @KCBCare @KDICkenya @CBKKenya Depositors are still awaiting the 0.5% payout , you paid a few selected accounts and have forgotten the majority, when we inquire, it is said that a 2n tranche of payment will come soon , WHEN ?? WHY?? PAY NOW !!",[],N/A
13,FlaviusFX,"Solution & Software Architect. Design Entrepreneur.   ������

Astra inclinant, sed non obligant. 
80+ Billion fraud exposed in my last job.","Frinton on Sea, United Kingdom",4803,1912,33031,10/04/2010 19:23,16/11/2020 20:06,4,"@KCBGroup @KCBCare @KDICkenya @CBKKenya Depositors are still awaiting the 0.5% payout , you paid a few selected accounts and have forgotten the majority, when we inquire, it is said that a 2n tranche of payment will come soon , WHEN ?? WHY?? PAY NOW !!",[],N/A
14,matunda66,,"Nairobi, Kenya",81,141,1791,02/02/2017 15:14,16/11/2020 19:53,4,"@KCBGroup @KCBCare @KDICkenya @CBKKenya Depositors are still awaiting the 0.5% payout , you paid a few selected accounts and have forgotten the majority, when we inquire, it is said that a 2n tranche of payment will come soon , WHEN ?? WHY?? PAY NOW !!",[],N/A
15,mahmoodkhambiye,,"Nairobi, Kenya",341,341,1629,18/02/2012 03:06,16/11/2020 19:51,4,"@KCBGroup @KCBCare @KDICkenya @CBKKenya Depositors are still awaiting the 0.5% payout , you paid a few selected accounts and have forgotten the majority, when we inquire, it is said that a 2n tranche of payment will come soon , WHEN ?? WHY?? PAY NOW !!",[],N/A
16,lobbygroupiblke,Imperial Bank - IR  Depositors Lobby Group,"Nairobi, Kenya",571,1575,2500,24/11/2015 13:04,16/11/2020 19:43,4,"@KCBGroup @KCBCare @KDICkenya @CBKKenya Depositors are still awaiting the 0.5% payout , you paid a few selected accounts and have forgotten the majority, when we inquire, it is said that a 2n tranche of payment will come soon , WHEN ?? WHY?? PAY NOW !!",[],N/A
17,MSlyviah,letting life fix its own problems,"Nairobi, Kenya",1319,454,20,15/04/2015 14:54,16/11/2020 18:28,0,@KCBCare kindly update my crb status. I just paid my loan. Thank you.,[],N/A
18,Dennis37397083,,,31,0,8,24/10/2020 17:22,16/11/2020 17:25,0,@KCBCare OK... I'll be so much glad... The best bank ever,[],N/A
19,Dennis37397083,,,31,0,8,24/10/2020 17:22,16/11/2020 17:15,0,@KCBCare By today's night �or by tomorrow morning,[],N/A
20,Dennis37397083,,,31,0,8,24/10/2020 17:22,16/11/2020 17:01,0,@KCBCare Today I have transacted  some amount from my account through the mobile banking and it showed me I have successfully done it! Upto now have my money hasn't yet be deposited in my mpesa.. Whatsup! Kindly assist I got some emergency...,[],kcb_mobile_banking
21,matildasly,Figuring what the fuss is all about,"Nairobi,Kenya",313,225,2389,10/10/2013 09:44,16/11/2020 16:43,0,@melanin_afrique @KCBCare @KCBGroup @CBKKenya Very inefficient.  Have they solved the issue?,[],N/A
22,_parmuat,I belong to Jesus.,"Nairobi,kenya",180,212,1932,04/11/2011 11:37,16/11/2020 14:49,0,@KCBCare @emskitcomputers This is not efficient... Improve so that one can reset with their phone number and ID @kcbcare,[],kcb_account
23,Carolmwok,"|Practice Reckless Optimism|
Passionate about PR & Comms| Tourism Industry| A Gunner�","Kapenguria, Kenya.",1161,445,1159,01/07/2012 13:46,16/11/2020 14:44,0,@KCBCare kindly check DM.,[],N/A
24,Urbankenya,Young black n F***ng Famous #,Dubai.,113,43,26,05/01/2010 03:19,16/11/2020 14:40,0,@KCBCare Y'all crazy ma passport is the registered document am not an account holder just mormal mpesa on ur agent account inside the branch,[],kcb_account
25,Urbankenya,Young black n F***ng Famous #,Dubai.,113,43,26,05/01/2010 03:19,16/11/2020 13:53,0,@KCBCare This the biggest fraud in this country after waiting for an hour for my 2 transaction they refuse to pay saying i have to use id even if passport is the registered document still at the lobby waiting,[],kcb_account
26,DavIndac,,,352,202,11016,04/08/2011 07:54,16/11/2020 13:53,0,@KCBCare I have,[],N/A
