username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
Tee_Keay,"Doveryai, no proveryai.",+254,2236,1369,29984,2011-03-24 10:09:59,2020-11-18 04:34:51,0,"@KCBCare  the usual, kindly deal 👇 https://t.co/1DTDVVSALG",[]
Skirm_TheDon,I speak what my mind tells me to.  #BigBroAfrica fan.,,23,194,2148,2010-04-30 12:11:15,2020-11-17 16:25:06,0,"@KCBGroup @KCBCare I need my money 
Transaction ref. no. 203223037394. @Safaricom_Care",[]
Gitari56557590,Ambitions,,16,10,5,2020-11-17 06:33:55,2020-11-17 15:54:23,0,@KCBCare Thanks for ur help,[]
Danokware,"IT is my Profession.
Catholic is my Religion.
Manchester United is my second Religion.
Simplicity is my other name.
What you are thinking is only your opinion.","Nairobi, Kenya",505,425,1373,2011-08-24 12:11:53,2020-11-17 14:02:01,0,"@KCBCare I contacted you about this transaction. It was followed by a failed Airtime purchase but the money was not reversed back to my account. I was informed this will be automatic after 24 hrs. It is past that no funds in account, no airtime!Whats up??",[]
Gitari56557590,Ambitions,,16,10,5,2020-11-17 06:33:55,2020-11-17 13:54:41,0,"@KCBCare Would you kindly follow me back,,,so that I can be able to dm you",[]
Gitari56557590,Ambitions,,16,10,5,2020-11-17 06:33:55,2020-11-17 13:44:26,0,@KCBCare hello can you assist me to know the status of my account,[]
Gitari56557590,Ambitions,,16,10,5,2020-11-17 06:33:55,2020-11-17 13:38:43,0,@KCBCare hellow,[]
DavIndac,,,352,202,11016,2011-08-04 07:54:45,2020-11-17 09:53:13,0,@KCBCare For how long?,[]
DavIndac,,,352,202,11016,2011-08-04 07:54:45,2020-11-17 09:36:57,0,"@KCBCare how come you don't trust me with your 30k, yet am paying your 3m for the next 7yrs?",[]
DavIndac,,,352,202,11016,2011-08-04 07:54:45,2020-11-17 09:35:36,0,@KCBCare u have blacklisted me on mobiloan &amp; KCB Mpesa yet av been a loyal customer. I also earn through KCB. Now I wanted to take one &amp; pay salary advance still from KCB.,[]
Gitari56557590,Ambitions,,16,10,5,2020-11-17 06:33:55,2020-11-17 06:38:14,0,@KCBCare hello,[]
Dennis37397083,,,31,0,8,2020-10-24 17:22:40,2020-11-17 01:36:05,0,@KCBCare iam grateful I received my money.. Thank you so much....,[]
Bhaktishah1277,,,83,96,3021,2016-02-10 05:01:28,2020-11-16 20:52:53,4,"@KCBGroup @KCBCare @KDICkenya @CBKKenya Depositors are still awaiting the 0.5% payout , you paid a few selected accounts and have forgotten the majority, when we inquire, it is said that a 2n tranche of payment will come soon , WHEN ?? WHY?? PAY NOW !!",[]
FlaviusFX,"Solution & Software Architect. Design Entrepreneur.   🇬🇧🇵🇹🇰🇪

Astra inclinant, sed non obligant. 
80+ Billion fraud exposed in my last job.","Frinton on Sea, United Kingdom",4803,1912,33031,2010-04-10 19:23:39,2020-11-16 20:06:11,4,"@KCBGroup @KCBCare @KDICkenya @CBKKenya Depositors are still awaiting the 0.5% payout , you paid a few selected accounts and have forgotten the majority, when we inquire, it is said that a 2n tranche of payment will come soon , WHEN ?? WHY?? PAY NOW !!",[]
matunda66,,"Nairobi, Kenya",81,141,1791,2017-02-02 15:14:18,2020-11-16 19:53:51,4,"@KCBGroup @KCBCare @KDICkenya @CBKKenya Depositors are still awaiting the 0.5% payout , you paid a few selected accounts and have forgotten the majority, when we inquire, it is said that a 2n tranche of payment will come soon , WHEN ?? WHY?? PAY NOW !!",[]
mahmoodkhambiye,,"Nairobi, Kenya",341,341,1629,2012-02-18 03:06:32,2020-11-16 19:51:38,4,"@KCBGroup @KCBCare @KDICkenya @CBKKenya Depositors are still awaiting the 0.5% payout , you paid a few selected accounts and have forgotten the majority, when we inquire, it is said that a 2n tranche of payment will come soon , WHEN ?? WHY?? PAY NOW !!",[]
lobbygroupiblke,Imperial Bank - IR  Depositors Lobby Group,"Nairobi, Kenya",571,1575,2500,2015-11-24 13:04:57,2020-11-16 19:43:17,4,"@KCBGroup @KCBCare @KDICkenya @CBKKenya Depositors are still awaiting the 0.5% payout , you paid a few selected accounts and have forgotten the majority, when we inquire, it is said that a 2n tranche of payment will come soon , WHEN ?? WHY?? PAY NOW !!",[]
MSlyviah,letting life fix its own problems,"Nairobi, Kenya",1319,454,20,2015-04-15 14:54:41,2020-11-16 18:28:58,0,@KCBCare kindly update my crb status. I just paid my loan. Thank you.,[]
Dennis37397083,,,31,0,8,2020-10-24 17:22:40,2020-11-16 17:25:02,0,@KCBCare OK... I'll be so much glad... The best bank ever,[]
Dennis37397083,,,31,0,8,2020-10-24 17:22:40,2020-11-16 17:15:22,0,@KCBCare By today's night 😔or by tomorrow morning,[]
Dennis37397083,,,31,0,8,2020-10-24 17:22:40,2020-11-16 17:01:23,0,@KCBCare Today I have transacted  some amount from my account through the mobile banking and it showed me I have successfully done it! Upto now have my money hasn't yet be deposited in my mpesa.. Whatsup! Kindly assist I got some emergency...,[]
matildasly,Figuring what the fuss is all about,"Nairobi,Kenya",313,225,2389,2013-10-10 09:44:37,2020-11-16 16:43:02,0,@melanin_afrique @KCBCare @KCBGroup @CBKKenya Very inefficient.  Have they solved the issue?,[]
_parmuat,I belong to Jesus.,"Nairobi,kenya",180,212,1932,2011-11-04 11:37:11,2020-11-16 14:49:10,0,@KCBCare @emskitcomputers This is not efficient... Improve so that one can reset with their phone number and ID @kcbcare,[]
Carolmwok,"|Practice Reckless Optimism|
Passionate about PR & Comms| Tourism Industry| A Gunner💕","Kapenguria, Kenya.",1161,445,1159,2012-07-01 13:46:37,2020-11-16 14:44:09,0,@KCBCare kindly check DM.,[]
Urbankenya,Young black n F***ng Famous #,Dubai.,113,43,26,2010-01-05 03:19:52,2020-11-16 14:40:25,0,@KCBCare Y'all crazy ma passport is the registered document am not an account holder just mormal mpesa on ur agent account inside the branch,[]
Urbankenya,Young black n F***ng Famous #,Dubai.,113,43,26,2010-01-05 03:19:52,2020-11-16 13:53:14,0,@KCBCare This the biggest fraud in this country after waiting for an hour for my 2 transaction they refuse to pay saying i have to use id even if passport is the registered document still at the lobby waiting,[]
